Model ID,Glass type,Coat date,Coating Line,Emulsion Thickness,Triazine % in Paint 1 ,Triazine % in Paint 2,Paint 1 Cohesion,Paint 2 Cohesion,Paints 1 & 2 Mix Ratio (%),Glass temp. prior coating,UV test result (Resistance),Min Resistance,Max Resistance
AB1,2568,05/30/2019,NDH,13,60,85,50.40,54,65.50,33,0.746,0.783,0.919
AB1,2568,05/30/2019,NDH,13,60,85,50.40,54,63.80,33,0.899,0.783,0.919
AB1,2568,06/13/2019,NDH,12,60,85,50.8,50,65,31,0.968,0.783,0.919
AB1,2568,06/13/2019,NDH,12,60,85,50.8,50,67.6,31,0.710,0.783,0.919
AB1,2568,06/13/2019,NDH,12,60,85,50.8,50,66.2,31,0.790,0.783,0.919
AB1,2568,06/21/2019,NDH,12,60,85,50.8,50,65,32,0.876,0.783,0.919
AB1,2568,06/21/2019,NDH,12,60,85,50.8,50,65.8,32,0.899,0.783,0.919
AB1,2568,06/21/2019,NDH,12,60,85,50.8,50,67,31,0.810,0.783,0.919
AB1,2568,06/21/2019,NDH,12,60,85,50.8,50,66.2,31,0.895,0.783,0.919
AB1,2568,07/02/2019,NDH,12,60,85,52,50,67.5,32,0.850,0.783,0.919
AB1,2568,07/02/2019,NDH,10,60,85,52,50,68,35,0.843,0.783,0.919
AB1,2568,07/02/2019,NDH,10,60,85,52,50,68,35,0.860,0.783,0.919
AB1,2568,07/23/2019,NDH,10,60,85,52,50,67.5,34,0.848,0.783,0.919
AB1,2568,05/29/2019,CNN,13,60,85,50.4,54,65.5,31,0.834,0.783,0.919
AB1,2568,05/29/2019,CNN,13,60,85,50.4,54,65.5,31,0.860,0.783,0.919
AB1,2568,06/13/2019,CNN,12,60,85,50.8,50,65,32,1.085,0.783,0.919
AB1,2568,06/13/2019,CNN,12,60,85,50.8,50,70.2,32,0.740,0.783,0.919
AB1,2568,06/13/2019,CNN,12,60,85,50.8,50,68.2,32,0.84,0.783,0.919
AB1,2568,06/21/2019,CNN,12,60,85,50.8,50,68.2,31,0.700,0.783,0.919
AB1,2568,06/21/2019,CNN,12,60,85,50.8,50,65,31,0.845,0.783,0.919
AB1,2568,06/21/2019,CNN,12,60,85,50.8,50,65,31,0.875,0.783,0.919
AB1,2568,07/02/2019,CNN,11,60,85,52,50,66.5,31,0.915,0.783,0.919
AB1,2568,07/02/2019,CNN,11,60,85,52,50,67.5,31,0.870,0.783,0.919
AB1,2568,07/02/2019,CNN,14,60,85,52,50,66,32,0.779,0.783,0.919
AB1,2568,07/02/2019,CNN,14,60,85,52,50,65,32,0.834,0.783,0.919
AB1,2568,08/19/2019,NDH,14,60,85,53.6,50,65,33,0.98,0.783,0.919
AB1,2568,08/19/2019,CNN,14,60,85,53.6,50,65.5,32,0.836,0.783,0.919
AB1,2568,08/19/2019,NDH,14,60,85,53.6,50,65.2,33,0.798,0.783,0.919
CZ5,3463,05/03/2019,NDH,14,60,85,57.2,54.8,76,31,0.715,0.620,0.751
CZ5,3463,05/03/2019,NDH,14,60,85,57.2,54.8,76,31,0.742,0.620,0.751
CZ5,3463,06/01/2019,NDH,10,60,85,50.8,54,79,30,0.570,0.620,0.751
CZ5,3463,06/01/2019,NDH,10,60,85,50.8,54,76.5,30,0.694,0.620,0.751
CZ5,3463,06/19/2019,NDH,13,60,85,50.8,50,77,30,0.742,0.620,0.751
CZ5,3463,06/19/2019,NDH,13,60,85,50.8,50,78.3,30,0.699,0.620,0.751
CZ5,3463,07/03/2019,NDH,10,60,85,52.0,50,77.5,39,0.680,0.620,0.751
CZ5,3463,07/03/2019,NDH,10,60,85,52.0,50,77.5,39,0.670,0.620,0.751
CZ5,3463,07/16/2019,NDH,10,60,85,52.0,50,79,36,0.502,0.620,0.751
CZ5,3463,07/16/2019,NDH,10,60,85,52.0,50,75,34,0.615,0.620,0.751
CZ5,3463,07/16/2019,NDH,10,60,85,52.0,50,73.6,34,0.717,0.620,0.751
CZ5,3463,07/28/2019,NDH,11,60,85,52.8,50,74,36,0.890,0.620,0.751
CZ5,3463,07/28/2019,NDH,11,60,85,52.8,50,78.5,36,0.683,0.620,0.751
CZ5,3463,07/28/2019,NDH,11,60,85,52.8,50,78.5,36,0.702,0.62,0.751
CZ5,3463,05/03/2019,CNN,12,60,85,57.2,54.8,77,31,0.683,0.620,0.751
CZ5,3463,05/03/2019,CNN,12,60,85,57.2,54.8,77,31,0.696,0.620,0.751
CZ5,3463,06/01/2019,CNN,12,60,85,50.8,54,77,31,0.795,0.620,0.751
CZ5,3463,06/01/2019,CNN,12,60,85,50.8,54,79.5,31,0.655,0.620,0.751
CZ5,3463,06/19/2019,CNN,13,60,85,50.8,50,77.5,31,0.578,0.620,0.751
CZ5,3463,06/19/2019,CNN,13,60,85,50.8,50,75.2,31,0.684,0.620,0.751
CZ5,3463,07/03/2019,CNN,11,60,85,52.0,50,77.5,32,0.610,0.620,0.751
CZ5,3463,07/03/2019,CNN,11,60,85,52.0,50,76,32,0.650,0.620,0.751
CZ5,3463,07/16/2019,CNN,11,60,85,52.8,50,76,31,0.657,0.620,0.751
CZ5,3463,07/16/2019,CNN,11,60,85,52.8,50,76,31,0.662,0.620,0.751
CZ5,3463,07/28/2019,CNN,11,60,85,53.6,50,75.5,34,0.637,0.620,0.751
CZ5,3463,07/28/2019,CNN,11,60,85,53.6,50,74.8,34,0.664,0.620,0.751
CZ5,3463,08/28/2019,NDH,11,60,85,53.6,52.4,77.2,31,0.62,0.62,0.751
CZ5,3463,08/28/2019,CNN,12,60,85,53.6,52.4,76,31,0.518,0.62,0.751
CZ5,3463,08/28/2019,CNN,12,60,85,53.6,52.4,76,31,0.631,0.62,0.751
YD8,3532,04/12/2019,NDH,12,65,88,50,53.6,78,31,0.715,0.62,0.751
YD8,3532,04/12/2019,CNN,13,65,88,50,53.6,75.5,31,0.633,0.62,0.751
YD8,3532,04/13/2019,NDH,12,65,88,50,53.6,78.3,31,0.603,0.62,0.751
YD8,3532,04/13/2019,CNN,12,65,88,50,53.6,75.5,30,0.685,0.62,0.751
YD8,3532,04/14/2019,CNN,13,65,88,50,53.6,77,30,0.75,0.62,0.751
YD8,3532,2019.05.03,NDH,13,65,88,54,49.6,77.8,32,0.719,0.62,0.751
YD8,3532,2019.05.03,CNN,13,65,88,54,49.6,77,31,0.65,0.62,0.751
YD8,3532,2019.05.03,NDH,13,65,88,54,49.6,78,32,0.68,0.62,0.751
YD8,3532,2019.05.03,CNN,13,65,88,54,49.6,76.3,31,0.66,0.62,0.751
XC5,10817,"2019,03,28",NDH,11,70,85,43.2,53.2,82,32,0.696,0.637,0.758
XC5,10817,"2019,03,28",NDH,11,70,85,43.2,53.2,82,32,0.705,0.637,0.758
XC5,10817,"2019,04,21",NDH,13,70,85,40,54.8,81.5,31,0.676,0.637,0.758
XC5,10817,"2019,04,21",NDH,13,70,85,40,54.8,81.5,31,0.676,0.639,0.758
XC5,10817,"2019,04,21",NDH,13,70,85,40,54.8,82.5,31,0.683,0.639,0.758
XC5,10817,"2019,04,21",NDH,13,70,85,40,54.8,82.5,31,0.699,0.639,0.758
XC5,10817,"2019,05.16,",NDH,13,70,85,40,54,82,32,0.661,0.639,0.758
XC5,10817,"2019,05.16,",NDH,13,70,85,40,54,82,32,0.686,0.639,0.758
XC5,10817,"2019,05.17,",NDH,10,70,85,40,54,83,31,0.736,0.639,0.758
XC5,10817,"2019,05.17,",NDH,10,70,85,40,54,83.5,31,0.721,0.639,0.758
XC5,10817,"2019,06.09,",NDH,14,70,85,40.8,52,80,31,0.61,0.639,0.758
XC5,10817,"2019,06.09,",NDH,14,70,85,40.8,52,78.2,31,0.67,0.639,0.758
XC5,10817,"2019,06.10,",NDH,10,70,85,40.8,52,80.5,31,0.87,0.639,0.758
XC5,10817,"2019,06.10,",NDH,10,70,85,40.8,52,84,31,0.69,0.639,0.758
XC5,10817,"2019,06.10,",NDH,10,70,85,40.8,52,84,31,0.716,0.639,0.758
XC5,10817,"2019,06.25,",NDH,12,70,85,40.8,52,81.5,33,0.761,0.639,0.758
XC5,10817,"2019,06.25,",NDH,12,70,85,40.8,52,83,33,0.652,0.639,0.758
XC5,10817,"2019,07.18,",NDH,13,70,85,40.8,50,83,31,0.663,0.639,0.758
XC5,10817,"2019,07.18,",NDH,13,70,85,40.8,50,83,31,0.703,0.639,0.758
XC5,10817,"2019,07.19,",NDH,11,70,85,40.8,50,83,34,0.622,0.639,0.758
XC5,10817,"2019,07.19,",NDH,11,70,85,40.8,50,81.4,34,0.694,0.639,0.758
XC5,10817,"2019,03,28",CNN,12,70,85,43.2,53.2,82,32,0.675,0.637,0.758
XC5,10817,"2019,03,28",CNN,12,70,85,43.2,53.2,82,32,0.675,0.669,0.758
XC5,10817,"2019,04,21",CNN,13,70,85,40,54.8,81.5,32,0.72,0.637,0.758
XC5,10817,"2019,04,21",CNN,13,70,85,40,54.8,82.5,32,0.684,0.637,0.758
XC5,10817,"2019,04,21",CNN,13,70,85,40,54.8,82.5,32,0.718,0.637,0.758
